,artist_name,album_title,count,sum_track_count,combined_counts,match
872,The Seatbelts,COWBOY BEBOP (Original Motion Picture Soundtrack 3 - Blue),5,1,5,0
341,Nujabes,samurai champloo music record impression,9,25,225,1
590,femtanyl,REACTOR,6,89,534,0
904,Boris,Rainbow,5,18,90,1
408,Cymbals,Mr.Noone Special（通常盤）,8,15,120,1
826,Mac DeMarco,Here Comes the Cowboy,5,28,140,1
526,Marcos Valle,Marcos Valle JID003,7,1,7,0
386,The Smashing Pumpkins,Mellon Collie and the Infinite Sadness (Deluxe Edition),8,56,448,1
760,Satoshi Ashikawa,Still Way (Wave Notation 2),5,5,25,0
589,Mamiko Suzuki,Deep green,6,2,12,0
577,Tanukichan,Sundays,7,23,161,1
335,two sleepy,Restless,9,15,135,1
727,Yukihiro Takahashi,GRAND ESPOIR,6,6,36,1
512,Jinsang,Life,7,25,175,1
679,Federico Dubbini,Alefgard's Fantasy Collective World,6,9,54,1
425,Jestofunk,Love in a Black Dimension,8,57,456,1
568,Nujabes,2nd Collection,7,46,322,1
758,猫 シ Corp.,lofi,6,12,72,1
700,Zorrovian,C0RRUPTED D@TA,6,16,96,1
610,Mach-Hommy,Pray For Haiti,6,17,102,1
902,alyzea,dream OS,5,12,60,1
564,Garoto,Projeto Memoria Brasileira : Viva Garoto,7,19,133,1
830,Kenny Beats,LOUIE,5,8,40,0
387,The Smashing Pumpkins,Mellon Collie and the Infinite Sadness (Deluxe Edition),8,7,56,0
743,Yukihiro Takahashi,薔薇色の明日 +3 (2022 Yoshinori Sunahara Remastering),6,10,60,0
537,Kitty Craft,Beats and Breaks from the Flower Patch,7,32,224,1
693,Ginger Root,City Slicker,6,8,48,0
612,yourboyfriendsucks!,第一集,6,11,66,0
336,Haru Nemuri,harutosyura,9,46,414,1
616,NANORAY,ZAPPER,6,27,162,1
